Date,Henry,Algonquin Citygates,Chicago Citygates,TETCO-M3
2017-02-11,3.05,5.79674588699483,3.138227079111387,2.9069475556478044
2017-02-12,2.99,5.623330879216989,3.0767803912038056,2.8168809291716514
2017-02-13,2.93,5.449915871439145,3.015333703296224,2.7268143026954976
2017-02-14,2.85,5.218695861068688,2.933404786086115,2.6067254673939586
2017-02-15,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-02-16,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-02-17,2.75,4.929670848105616,2.830993639573479,2.456614423267036
2017-02-18,2.75,4.929670848105616,2.830993639573479,2.456614423267036
2017-02-19,2.75,4.929670848105616,2.830993639573479,2.456614423267036
2017-02-20,2.75,4.929670848105616,2.830993639573479,2.456614423267036
2017-02-21,2.56,4.38052332347578,2.6364124611994706,2.1714034394258825
2017-02-22,2.52,4.26491331829055,2.595448002594416,2.111359021775113
2017-02-23,2.63,4.5828408325499295,2.7081002637583156,2.276481170314728
2017-02-24,2.63,4.5828408325499295,2.7081002637583156,2.276481170314728
2017-02-25,2.5666666666666664,4.399791657673317,2.6432398709669793,2.1814108423676766
2017-02-26,2.5033333333333334,4.216742482796706,2.5783794781756435,2.086340514420626
2017-02-27,2.44,4.033693307920093,2.5135190853843072,1.9912701864735745
2017-02-28,2.54,4.322718320883165,2.615930231896943,2.141381230600498
2017-03-01,2.54,4.322718320883165,2.615930231896943,2.141381230600498
2017-03-02,2.59,4.4672308273647,2.667135805153261,2.216436752663959
2017-03-03,2.5,4.207108315697936,2.574965773291889,2.0813368129497287
2017-03-04,2.56,4.38052332347578,2.6364124611994706,2.1714034394258825
2017-03-05,2.62,4.553938331253622,2.6978591491070523,2.2614700659020364
2017-03-06,2.68,4.727353339031466,2.759305837014634,2.35153669237819
2017-03-07,2.68,4.727353339031466,2.759305837014634,2.35153669237819
2017-03-08,2.59,4.4672308273647,2.667135805153261,2.216436752663959
2017-03-09,2.83,5.1608908584760735,2.912922556783588,2.5767032585685743
2017-03-10,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-03-11,3.0,5.652233380513295,3.087021505855069,2.8318920335843427
2017-03-12,3.02,5.71003838310591,3.1075037351575965,2.861914242409728
2017-03-13,3.04,5.767843385698524,3.1279859644601236,2.8919364512351122
2017-03-14,3.02,5.71003838310591,3.1075037351575965,2.861914242409728
2017-03-15,3.02,5.71003838310591,3.1075037351575965,2.861914242409728
2017-03-16,2.84,5.18979335977238,2.9231636714348515,2.5917143629812665
2017-03-17,2.85,5.218695861068688,2.933404786086115,2.6067254673939586
2017-03-18,2.876666666666667,5.295769197858841,2.9607144251561515,2.6467550791611383
2017-03-19,2.9033333333333333,5.372842534648993,2.9880240642261877,2.686784690928318
2017-03-20,2.93,5.449915871439145,3.015333703296224,2.7268143026954976
2017-03-21,3.09,5.9123558921800585,3.1791915377164415,2.966991973298574
2017-03-22,3.02,5.71003838310591,3.1075037351575965,2.861914242409728
2017-03-23,2.93,5.449915871439145,3.015333703296224,2.7268143026954976
2017-03-24,2.97,5.565525876624373,3.0562981619012786,2.7868587203462662
2017-03-25,2.96,5.536623375328067,3.046057047250015,2.771847615933574
2017-03-26,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-03-27,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-03-28,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-03-29,3.03,5.738940884402216,3.11774484980886,2.87692534682242
2017-03-30,3.08,5.883453390883752,3.168950423065178,2.9519808688858817
2017-03-31,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-04-01,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-04-02,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-04-03,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-04-04,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-04-05,3.22,6.288088409032054,3.3123260281828686,3.1621363306635737
2017-04-06,3.23,6.31699091032836,3.3225671428341323,3.177147435076266
2017-04-07,3.23,6.31699091032836,3.3225671428341323,3.177147435076266
2017-04-08,3.203333333333333,6.239917573538206,3.2952575037640957,3.137117823309086
2017-04-09,3.1766666666666667,6.162844236748055,3.26794786469406,3.0970882115419074
2017-04-10,3.15,6.085770899957903,3.240638225624023,3.0570585997747277
2017-04-11,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
2017-04-12,2.97,5.565525876624373,3.0562981619012786,2.7868587203462662
2017-04-13,3.0,5.652233380513295,3.087021505855069,2.8318920335843427
2017-04-14,3.0,5.652233380513295,3.087021505855069,2.8318920335843427
2017-04-15,3.03,5.738940884402216,3.11774484980886,2.87692534682242
2017-04-16,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-04-17,3.09,5.9123558921800585,3.1791915377164415,2.966991973298574
